resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Tanah Liat,Tanah Liat,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.948,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.3.1 HARGA SATUAN PEKERJAAN TANAH
Koral,Koral,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.146,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 HARGA SATUAN PEKERJAAN PERSIAPAN
Kawat jaring,Kawat jaring,Material,General,Lbr,0.0,0.0,0.0,0.0,0,IDR,0.0,0.1434,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 HARGA SATUAN PEKERJAAN PERSIAPAN
400 x 300 mm dan aksesoris,400 x 300 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
450 x 250 mm dan aksesoris,450 x 250 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
900 x 400 mm dan aksesoris,900 x 400 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
150 x 150 mm dan aksesoris,150 x 150 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
750 x 400 mm dan aksesoris,750 x 400 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
700 x 400 mm dan aksesoris,700 x 400 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
800 x 350 mm dan aksesoris,800 x 350 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
