resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
XT15100,POLIESTIRENO EXPANDIDO ELASTIFICADO 10MM,Material,General,m2,24.24,24.24,24.24,24.24,1,MXN,25.45,1.05,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT11200E,RELLENO LANA MINERAL 50-90 mm,Material,General,m2,182.34,182.34,182.34,182.34,1,MXN,184.17,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT00100,PERLITA EN SACOS B-10,Material,General,m3,10764.71,10764.71,10764.71,10764.71,1,MXN,1194.88,0.111,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT11200,PANEL LANA MINERAL 40 mm,Material,General,m2,98.77,98.77,98.77,98.77,1,MXN,99.76,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT11900,PANEL RÍGIDO FIBRA VIDRIO 30 mm DENSIDAD 38 kg/m3,Material,General,m2,79.59,79.59,79.59,79.59,1,MXN,80.39,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12500,PANEL SEMIRRÍGIDO FIB. VIDR. RECUBIERTO 60 mm DENS. 15 kg/m3,Material,General,m2,119.21,119.21,119.21,119.21,1,MXN,120.4,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12700,PANEL SEMIRRÍGIDO FIBRA VIDRIO 30 mm DENSIDAD 22 kg/m3,Material,General,m2,45.95,45.95,45.95,45.95,1,MXN,46.41,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT14200,POLIURETANO DENSIDAD 30 kg/m3,Material,General,m3,2047.55,2047.55,2047.55,2047.55,1,MXN,40.95,0.02,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT80570,COQUILLA ESPESOR 19x60 TEMP. 150º C. REVEST. ALUMINIO,Material,General,m,140.01,140.01,140.01,140.01,1,MXN,141.41,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT80560,COQUILLA ESPESOR 19x35 TEMP. 150º C. REVEST. ALUMINIO,Material,General,m,115.23,115.23,115.23,115.23,1,MXN,116.38,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT80550,COQUILLA ESPESOR 19x18 TEMP. 150º C. REVEST. ALUMINIO,Material,General,m,96.06,96.06,96.06,96.06,1,MXN,97.02,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
